"V1","V2","d"
"rmt","WP_063866490.1","ARO:3004679"
"aac(3)","WP_063840270.1","ARO:3002542"
"aac(3)","WP_063856943.1","ARO:3002542"
"bla","WP_304486998.1","ARO:3008080"
"bla","WP_039103359.1","ARO:3002473"
"aac(3)","WP_063840261.1","ARO:3002536"
"blaOXA","WP_063861316.1","ARO:3001766"
"vanW","WP_032489744.1","ARO:3002964"
"tet","WP_044666383.1","ARO:3000190"
"vanY","WP_021418926.1","ARO:3002959"
"vanR","WP_016295750.1","ARO:3002923"
"vanS","WP_063856740.1","ARO:3002931"
"bla","WP_000733275.1","ARO:3008823"
"vanT","WP_063856759.1","ARO:3002970"
"vanW","WP_002368694.1","ARO:3002964"
"vanA","WP_063856625.1","ARO:3000013"
"vanX","WP_063856767.1","ARO:3002949"
"aph(3')","WP_318245542.1","ARO:3002654"
"bla","WP_063843243.1","ARO:3003002"
"blaOXA","WP_019485147.1","ARO:3006041"
"rmt","WP_019726361.1","ARO:3002667"
"cfxA","WP_117664257.1","ARO:3003097"
"vanS","WP_063856749.1","ARO:3002940"
"aph(2'')-I","WP_057097547.1","ARO:3004191"
"bla","WP_224206459.1","ARO:3008395"
"bla","WP_005808062.1","ARO:3000578"
"blaOXA","WP_032835180.1","ARO:3001780"
"bla","WP_063865158.1","ARO:3002371"
"bla","WP_063865157.1","ARO:3006213"
"bla","WP_078318620.1","ARO:3005074"
"blaOXA","WP_016162389.1","ARO:3005329"
"bla","WP_032491907.1","ARO:3002364"
"aph(2'')-I","WP_057098416.1","ARO:3004191"
"aph(2'')-I","WP_032490744.1","ARO:3002597"
"erm","WP_000810833.1","ARO:3005099"
"bla","WP_202089433.1","ARO:3006137"
"vanR","WP_063856741.1","ARO:3002931"
"bla","WP_006555379.1","ARO:3004359"
"vanR","WP_034869172.1","ARO:3002933"
"tet","WP_063856405.1","ARO:3000190"
"nim","WP_063854491.1","ARO:3007105"
"aph(3')","WP_004206941.1","ARO:3002647"
"aac(6')-Ie","WP_012655884.1","ARO:3002597"
"aac(6')-Ie","WP_057097547.1","ARO:3004191"
"ampC","WP_220120526.1","ARO:3007921"
"aph(3')-I","WP_000018330.1","ARO:3002641"
"blaOXA","WP_063864094.1","ARO:3003627"
"dfrB","WP_318245555.1","ARO:3007490"
"bla","WP_032456002.1","ARO:3002434"
"bla","WP_011497575.1","ARO:3006994"
"blaOXA","WP_231869607.1","ARO:3008759"
"aac(6')","WP_005288246.1","ARO:3002561"
"bla","WP_049637349.1","ARO:3002365"
"blaOXA","WP_188331876.1","ARO:3006108"
"bla","WP_394294917.1","ARO:3009028"
"blaOXA","WP_394294914.1","ARO:3008717"
"bla","WP_063860935.1","ARO:3006961"
"bla","WP_063859932.1","ARO:3001981"
"dfrB","WP_071846200.1","ARO:3005350"
"dfrB","WP_172688537.1","ARO:3007489"
"bla","WP_063865212.1","ARO:3003103"
"bla","WP_032495378.1","ARO:3001980"
"bla","WP_015060700.1","ARO:3004751"
"bla","WP_063864598.1","ARO:3006971"
"aac(6')","WP_071846310.1","ARO:3002570"
"bla","WP_105791036.1","ARO:3008996"
"vanR","WP_063856725.1","ARO:3002922"
"lsa","WP_002398829.1","ARO:3000300"
"fos","WP_071684814.1","ARO:3004113"
"bla","WP_063864552.1","ARO:3002401"
"qac","WP_032489340.1","ARO:3003836"
"bla","WP_002437128.1","ARO:3008200"
"bla","WP_085562390.1","ARO:3006913"
"blaOXA","WP_063862739.1","ARO:3001558"
"blaOXA","WP_060613455.1","ARO:3001776"
"blaCARB","WP_063859341.1","ARO:3002244"
"blaOXA","WP_171892704.1","ARO:3008695"
"blaOXA","WP_126622689.1","ARO:3008549"
"blaOXA","WP_126861771.1","ARO:3008450"
"erm","WP_063844771.1","ARO:3000498"
"bla","WP_197749417.1","ARO:3006917"
"blaOXA","WP_128268284.1","ARO:3006982"
"bla","WP_234164690.1","ARO:3009100"
"blaOXA","WP_011071128.1","ARO:3001812"
"blaOXA","WP_034033411.1","ARO:3008444"
"blaOXA","WP_375516072.1","ARO:3008701"
"fos","WP_014839980.1","ARO:3002872"
"blaOXA","WP_256875616.1","ARO:3008548"
"bla","WP_012145975.1","ARO:3006996"
"rmt","WP_015632396.1","ARO:3002666"
"aph(2'')-I","WP_052776520.1","ARO:3004191"
"aac(6')-Ie","WP_122630840.1","ARO:3002597"
"bla","WP_069213816.1","ARO:3005676"
"bla","WP_063842703.1","ARO:3002487"
"blaOXA","WP_268871879.1","ARO:3008593"
"bla","WP_179284392.1","ARO:3005078"
"tet","WP_004293868.1","ARO:3000191"
"vanX","WP_002317266.1","ARO:3002950"
"ant(4')","WP_063840509.1","ARO:3002625"
"qac","WP_011100750.1","ARO:3007014"
"fosB","WP_002437790.1","ARO:3007372"
"bla","WP_000733274.1","ARO:3008823"
"bla","WP_087587938.1","ARO:3004739"
"blaOXA","WP_054517040.1","ARO:3005712"
"aac(3)-II","WP_000557454.1","ARO:3004623"
"bla","WP_023281079.1","ARO:3008202"
"bla","WP_032966056.1","ARO:3000582"
"ampC","WP_063859632.1","ARO:3002115"
"blaPRC","WP_230924646.1","ARO:3007085"
"ampC","WP_099156056.1","ARO:3006249"
"fos","WP_079820715.1","ARO:3004113"
"bla","WP_063860566.1","ARO:3008205"
"oqxB","WP_040224644.1","ARO:3003923"
"bla","WP_063860567.1","ARO:3008206"
"fosA8","WP_063277905.1","ARO:3007371"
"blaIND","WP_052769157.1","ARO:3005493"
"tet","WP_041160408.1","ARO:3000186"
"ampC","WP_148044451.1","ARO:3006730"
"ampC","WP_006178946.1","ARO:3007921"
"bla","WP_181483194.1","ARO:3008786"
"arr","WP_047211550.1","ARO:3002841"
"aac(6')","WP_005208202.1","ARO:3002565"
"bla","WP_100505522.1","ARO:3006898"
"bla","WP_114999921.1","ARO:3005462"
"aph(3')","WP_000018321.1","ARO:3002641"
"bla","WP_063860565.1","ARO:3008204"
"bla","WP_063842699.1","ARO:3000582"
"bla","WP_038333643.1","ARO:3004463"
"bla","WP_078675023.1","ARO:3005698"
"qac","WP_001146389.1","ARO:3007014"
"ant(3'')","WP_071846261.1","ARO:3004692"
"bla","WP_063859920.1","ARO:3006871"
"bla","WP_015058868.1","ARO:3000999"
"ampC","WP_148044447.1","ARO:3006725"
"blaEBR","WP_150823468.1","ARO:3005461"
"fos","WP_063277905.1","ARO:3007371"
"bla","WP_346819020.1","ARO:3009090"
"ampC","WP_010673861.1","ARO:3002190"
"msr","WP_000052512.1","ARO:3003109"
"ampC","WP_279240766.1","ARO:3007899"
"bla","WP_260543444.1","ARO:3007437"
"bla","WP_063842692.1","ARO:3000582"
"bla","WP_063864902.1","ARO:3001391"
"aac(3)","WP_000131886.1","ARO:3002540"
"oqxB","WP_063865509.1","ARO:3003923"
"oqxB","WP_023323140.1","ARO:3003923"
"vanR","WP_011461302.1","ARO:3002931"
"bla","WP_063860829.1","ARO:3006945"
"bla","WP_034735890.1","ARO:3002257"
"aac(6')","WP_008940904.1","ARO:3002554"
"fosA","WP_063277905.1","ARO:3007371"
"tet","WP_197749400.1","ARO:3007492"
"ampC","WP_096807446.1","ARO:3005198"
"blaOXA","WP_268871880.1","ARO:3008594"
"bla","WP_063842689.1","ARO:3000582"
"blaSPI","WP_274375790.1","ARO:3008226"
"bla","WP_256875603.1","ARO:3008198"
"blaOXA","WP_003161096.1","ARO:3006093"
"cml","WP_063844973.1","ARO:3002705"
"bla","WP_072186106.1","ARO:3006984"
"catA","WP_063843217.1","ARO:3002683"
"aph(6)-I","WP_012480135.1","ARO:3002659"
"bla","WP_105803562.1","ARO:3009019"
"tet","WP_012477450.1","ARO:3003196"
"erm","WP_032492416.1","ARO:3000250"
"bla","WP_063860630.1","ARO:3002263"
"blaDIM","WP_063842915.1","ARO:3003556"
"bla","WP_003657002.1","ARO:3004761"
"ant(3'')","WP_071846340.1","ARO:3002601"
"qac","WP_043106116.1","ARO:3005098"
"tet","WP_064190967.1","ARO:3000183"
"ant(3'')","WP_063840456.1","ARO:3002607"
"blaOXA","WP_211816370.1","ARO:3005937"
"blaASDC","WP_004923134.1","ARO:3003854"
"blaOXA","WP_268871872.1","ARO:3008583"
"erm","WP_002292226.1","ARO:3000375"
